family,n,MSE,RMSE,MAE,R2,DirAccuracy,Precision,Recall,F1,AUC,LogLoss,PosRate_Pred,PosRate_True
cnn_lstm,2177,2.051576095936357e-08,0.0001432332397153802,9.682357712593477e-05,-0.3114599900220072,0.46577859439595776,0.44753623188405794,0.7861507128309573,0.5703731067602512,0.5015943893855082,0.7420722210354469,0.7923748277446027,0.45107946715663755
gru_attn,2177,1.842275210310968e-08,0.00013573043911779584,8.714324839553837e-05,-0.17766542207126745,0.49747358750574183,0.4690265486725664,0.8635437881873728,0.6078853046594982,0.5093371055569285,0.7161118246180213,0.8305006890215894,0.45107946715663755
lstm,2177,2.310700218210601e-08,0.00015200987527823977,0.0001072450480624768,-0.4771038184353711,0.47083141938447404,0.45319383259911894,0.8380855397148677,0.588277340957827,0.5129562245950116,0.7645614432120361,0.8341754708314194,0.45107946715663755
rf,2177,1.7864447618578054e-08,0.00013365795007622274,8.714784897274577e-05,-0.1419760808295083,0.485989894350023,0.4624657534246575,0.8594704684317719,0.6013537584609904,0.5156030302772073,0.7179723089408898,0.8383096003674781,0.45107946715663755
rnn,2177,2.1259041091894285e-08,0.0001458048047627179,9.851712178648071e-05,-0.35897380913517973,0.5006890215893431,0.4645987862440998,0.7016293279022403,0.559026369168357,0.5358571440745128,0.7359230269168595,0.6812126779972439,0.45107946715663755
ts,2177,1.567149623460305e-08,0.00012518584678230624,7.784940429846362e-05,-0.0017927356519564785,0.5213596692696371,0.4731182795698925,0.5376782077393075,0.5033365109628217,0.5283760406991113,0.6936265639892573,0.5126320624712908,0.45107946715663755
