test_mse,test_rmse,test_mae,test_r2,model_name,spec
1.5702054979000106e-08,0.00012530784085203967,7.633401809869625e-05,-0.0037461863324281808,TS_Model_1,Naive(0)
1.5702054979000106e-08,0.00012530784085203967,7.633401809869625e-05,-0.0037461863324281808,TS_Model_2,"ARMA(2,2)"
1.5676713861780062e-08,0.00012520668457306926,7.647069861944535e-05,-0.0021262678057742956,TS_Model_3,AR(1)
1.5657257785611715e-08,0.0001251289646149592,7.652366981734002e-05,-0.0008825476506040264,TS_Model_4,AR(2)
1.5648683039261077e-08,0.00012509469628749684,7.971140155537502e-05,-0.00033441118313337626,TS_Model_5,AR(5)
1.923568510636693e-08,0.0001386927723652784,9.037419710006889e-05,-0.2296317643027892,TS_Model_6,"ARMA(1,1)"
