hidden,n_layers,dropout,learning_rate,batch_size,val_loss,epochs_trained
64,2,0.1,0.001,128,0.33631807653342977,6
32,1,0.3,0.001,128,0.339015117901213,6
64,1,0.3,0.001,128,0.35113148303592906,6
32,2,0.3,0.001,128,0.3559831556151895,6
32,2,0.1,0.001,128,0.35753048605778637,6
64,1,0.1,0.001,128,0.3639276781502892,6
64,2,0.3,0.001,128,0.3706795739776948,6
