test_mse,test_rmse,test_mae,test_r2,model_name,hidden,n_layers,dropout,learning_rate,batch_size
1.7453761103070065e-08,0.00013211268335428685,8.547039760742337e-05,-0.11572301387786865,RNN_Model_1,32,2,0.3,0.001,128
1.636252022763074e-08,0.00012791606712071293,8.474333299091086e-05,-0.04596602916717529,RNN_Model_2,32,1,0.3,0.001,128
2.0542749723517773e-08,0.0001433274213942251,9.834484080784023e-05,-0.31318509578704834,RNN_Model_3,64,1,0.1,0.001,128
1.736089316750622e-08,0.00013176074213325537,8.598268323112279e-05,-0.1097865104675293,RNN_Model_4,32,2,0.1,0.001,128
1.8507021692926173e-08,0.00013604051489510827,9.055447299033403e-05,-0.1830521821975708,RNN_Model_5,32,1,0.1,0.001,128
4.5172466656140386e-08,0.00021253815341284112,0.00016186288848984987,-1.8876276016235352,RNN_Model_6,64,1,0.3,0.001,128
5.8022461502105216e-08,0.00024087852021736022,0.0001834771246649325,-2.709057331085205,RNN_Model_7,64,2,0.1,0.001,128
1.8783483213269392e-08,0.0001370528482493866,9.390428749611601e-05,-0.20072484016418457,RNN_Model_8,64,2,0.3,0.001,128
