Metric,Value
Total Configurations,7.0
Top-7 Used,7.0
Test Set Size,2177.0
Best Single RMSE,0.00013667046760576423
Best Single R2,-0.19403421878814697
Ensemble RMSE,0.00015200987643441675
Ensemble R2,-0.47710371017456055
Ensemble MAE,0.00010724504682002589
Ensemble MSE,2.3107002533606646e-08
