Metric,Value
Total Configurations,8.0
Top-8 Used,8.0
Test Set Size,2177.0
Best Single RMSE,0.00012791606712071293
Best Single R2,-0.04596602916717529
Ensemble RMSE,0.00014580480359031444
Ensemble R2,-0.35897374153137207
Ensemble MAE,9.851711365627125e-05
Ensemble MSE,2.1259040750010172e-08
