test_mse,test_rmse,test_mae,test_r2,model_name,cnn_channels,kernel_size,lstm_hidden,lstm_layers,dropout,learning_rate,batch_size
1.8243232702275236e-08,0.00013506751164612176,8.978836558526382e-05,-0.16618967056274414,CNN_LSTM_Model_1,64,3,32,1,0.3,0.001,128
2.1457413623693355e-08,0.000146483492666216,9.937591676134616e-05,-0.3716546297073364,CNN_LSTM_Model_2,64,3,64,1,0.3,0.001,128
2.5698845718125085e-08,0.00016030859527213468,0.0001039756098180078,-0.6427860260009766,CNN_LSTM_Model_3,32,3,64,1,0.3,0.001,128
2.1020401419491463e-08,0.00014498414195866893,9.748445881996304e-05,-0.34371888637542725,CNN_LSTM_Model_4,32,3,32,1,0.1,0.001,128
2.8845205335414903e-08,0.00016983876275872625,0.00012436187535058707,-0.8439154624938965,CNN_LSTM_Model_5,64,3,64,1,0.1,0.001,128
1.8381429711666897e-08,0.00013557813139170673,8.908469317248091e-05,-0.1750239133834839,CNN_LSTM_Model_6,32,3,64,1,0.1,0.001,128
2.400934207003047e-08,0.00015494948231610994,0.00010582504910416901,-0.5347853899002075,CNN_LSTM_Model_7,32,3,32,1,0.3,0.001,128
2.0947140910720918e-08,0.00014473127136428022,0.00010107096750289202,-0.33903563022613525,CNN_LSTM_Model_8,64,3,32,1,0.1,0.001,128
