Metric,Value
Total Configurations,8.0
Top-8 Used,8.0
Test Set Size,2177.0
Best Single RMSE,0.00013506751164612176
Best Single R2,-0.16618967056274414
Ensemble RMSE,0.00014323324172152484
Ensemble R2,-0.31145989894866943
Ensemble MAE,9.682358358986676e-05
Ensemble MSE,2.0515761534056765e-08
