family,CumulativeReturn,AnnualizedReturn,AnnualizedVolatility,Sharpe,Sortino,MaxDrawdown,Calmar,WinRate,AvgTurnover,n_bets,pct_long,pct_short,pct_flat,NoCost_CumulativeReturn,NoCost_AnnualizedReturn,NoCost_AnnualizedVolatility,NoCost_Sharpe,NoCost_Sortino,NoCost_MaxDrawdown,NoCost_Calmar,NoCost_WinRate,NoCost_AvgTurnover,n,MSE,RMSE,MAE,R2,DirAccuracy,Precision,Recall,F1,AUC,LogLoss,PosRate_Pred,PosRate_True
buy_and_hold,-0.0016336340352146594,-0.9999999999473715,0.22273235720230142,-120.08034500377902,-125.32798336843342,-0.0029690477675029525,-336.8083231575617,0.5,0.0045871559633027525,218,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
cnn_lstm,-0.005140923228047711,-1.0,0.1508735738616504,-494.4504188047252,-428.0905573364006,-0.005140923228047711,-194.51759064290763,0.36082474226804123,0.24770642201834864,218,0.38073394495412843,0.03211009174311927,0.5871559633027523,0.00024620747606762805,34.29183759406252,0.11870594431302312,30.08021268916322,18.158310210615394,-0.000751917047252304,45605.87862633732,0.6142857142857143,0.24770642201834864,2177.0,2.051576095936357e-08,0.0001432332397153802,9.682357712593477e-05,-0.3114599900220072,0.46577859439595776,0.44753623188405794,0.7861507128309573,0.5703731067602512,0.5015943893855082,0.7420722210354469,0.7923748277446027,0.45107946715663755
gru_attn,-0.004733413768667205,-1.0,0.15265269758370414,-449.85122802890083,-274.2381273639938,-0.004733413768667205,-211.2640155440228,0.26229508196721313,0.11926605504587157,218,0.24770642201834864,0.0,0.7522935779816514,-0.0021422012006024893,-0.999999999999967,0.14166075324731134,-219.06913645037224,-98.12836083276046,-0.0022085758099396058,-452.7804730539507,0.46808510638297873,0.11926605504587157,2177.0,1.842275210310968e-08,0.00013573043911779584,8.714324839553837e-05,-0.17766542207126745,0.49747358750574183,0.4690265486725664,0.8635437881873728,0.6078853046594982,0.5093371055569285,0.7161118246180213,0.8305006890215894,0.45107946715663755
lstm,-0.0063186482298739355,-1.0,0.16631592509978144,-551.6221954549071,-641.6153229787601,-0.0063186482298739355,-158.2616983284653,0.33064516129032256,0.30275229357798167,218,0.4954128440366973,0.013761467889908258,0.4908256880733945,0.0002617251255108144,43.178029561196865,0.138358736148078,27.448950180097146,22.192296994069526,-0.0007635601978730477,56548.29793573892,0.5280898876404494,0.30275229357798167,2177.0,2.310700218210601e-08,0.00015200987527823977,0.0001072450480624768,-0.4771038184353711,0.47083141938447404,0.45319383259911894,0.8380855397148677,0.588277340957827,0.5129562245950116,0.7645614432120361,0.8341754708314194,0.45107946715663755
rf,-0.00625899429191934,-1.0,0.16836253940961549,-539.7532140581684,-376.2647233963612,-0.00625899429191934,-159.77007700598924,0.2112676056338028,0.23853211009174313,218,0.23394495412844038,0.0,0.7660550458715596,-0.00107768287968113,-0.9999998336064476,0.13896567894012235,-112.2522677397522,-44.81722350092843,-0.0014195610704277328,-704.4429820163597,0.5121951219512195,0.23853211009174313,2177.0,1.7864447618578054e-08,0.00013365795007622274,8.714784897274577e-05,-0.1419760808295083,0.485989894350023,0.4624657534246575,0.8594704684317719,0.6013537584609904,0.5156030302772073,0.7179723089408898,0.8383096003674781,0.45107946715663755
rnn,-0.005081565207243899,-1.0,0.1862714464428611,-395.81951374035435,-336.4796852026452,-0.005112338291671459,-195.605208995873,0.3728813559322034,0.27522935779816515,218,0.42660550458715596,0.05963302752293578,0.5137614678899083,0.0009062447713694688,495252.6012114061,0.1615603230321902,81.24461634786876,46.47909739701115,-0.0012433217080385361,398330213.3385224,0.6046511627906976,0.27522935779816515,2177.0,2.1259041091894285e-08,0.0001458048047627179,9.851712178648071e-05,-0.35897380913517973,0.5006890215893431,0.4645987862440998,0.7016293279022403,0.559026369168357,0.5358571440745128,0.7359230269168595,0.6812126779972439,0.45107946715663755
ts,-0.0008993796144228794,-0.9999977960172463,0.04541869853308093,-286.75824021068377,-140.6879409042248,-0.0008993796144228794,-1111.875096989976,0.125,0.03669724770642202,218,0.0045871559633027525,0.013761467889908258,0.981651376146789,-9.972934621760299e-05,-0.763959139065245,0.025868709735936916,-55.797735431652235,-15.53379591194308,-0.00012164940175030114,-6280.007366031735,0.25,0.03669724770642202,2177.0,1.567149623460305e-08,0.00012518584678230624,7.784940429846362e-05,-0.0017927356519564785,0.5213596692696371,0.4731182795698925,0.5376782077393075,0.5033365109628217,0.5283760406991113,0.6936265639892573,0.5126320624712908,0.45107946715663755
