cnn_channels,kernel_size,lstm_hidden,lstm_layers,dropout,learning_rate,batch_size,val_loss,epochs_trained
64,3,32,1,0.3,0.001,128,0.33746780630420237,11
64,3,64,1,0.3,0.001,128,0.3429236666244619,10
32,3,64,1,0.3,0.001,128,0.3448782357222894,6
32,3,32,1,0.1,0.001,128,0.34510473030454974,8
64,3,64,1,0.1,0.001,128,0.3482083459110821,6
32,3,64,1,0.1,0.001,128,0.350677927627283,6
32,3,32,1,0.3,0.001,128,0.36023322361357074,6
64,3,32,1,0.1,0.001,128,0.3714985233895919,7
