family,CumulativeReturn,AnnualizedReturn,AnnualizedVolatility,Sharpe,Sortino,MaxDrawdown,Calmar,WinRate,AvgTurnover,n_bets,pct_long,pct_short,pct_flat,NoCost_CumulativeReturn,NoCost_AnnualizedReturn,NoCost_AnnualizedVolatility,NoCost_Sharpe,NoCost_Sortino,NoCost_MaxDrawdown,NoCost_Calmar,NoCost_WinRate,NoCost_AvgTurnover
buy_and_hold,-0.0016336340352146594,-0.9999999999473715,0.22273235720230142,-120.08034500377902,-125.32798336843342,-0.0029690477675029525,-336.8083231575617,0.5,0.0045871559633027525,218,1.0,0.0,0.0,,,,,,,,,
cnn_lstm,-0.005140923228047711,-1.0,0.1508735738616504,-494.4504188047252,-428.0905573364006,-0.005140923228047711,-194.51759064290763,0.36082474226804123,0.24770642201834864,218,0.38073394495412843,0.03211009174311927,0.5871559633027523,0.00024620747606762805,34.29183759406252,0.11870594431302312,30.08021268916322,18.158310210615394,-0.000751917047252304,45605.87862633732,0.6142857142857143,0.24770642201834864
gru_attn,-0.004733413768667205,-1.0,0.15265269758370414,-449.85122802890083,-274.2381273639938,-0.004733413768667205,-211.2640155440228,0.26229508196721313,0.11926605504587157,218,0.24770642201834864,0.0,0.7522935779816514,-0.0021422012006024893,-0.999999999999967,0.14166075324731134,-219.06913645037224,-98.12836083276046,-0.0022085758099396058,-452.7804730539507,0.46808510638297873,0.11926605504587157
lstm,-0.0063186482298739355,-1.0,0.16631592509978144,-551.6221954549071,-641.6153229787601,-0.0063186482298739355,-158.2616983284653,0.33064516129032256,0.30275229357798167,218,0.4954128440366973,0.013761467889908258,0.4908256880733945,0.0002617251255108144,43.178029561196865,0.138358736148078,27.448950180097146,22.192296994069526,-0.0007635601978730477,56548.29793573892,0.5280898876404494,0.30275229357798167
rf,-0.00625899429191934,-1.0,0.16836253940961549,-539.7532140581684,-376.2647233963612,-0.00625899429191934,-159.77007700598924,0.2112676056338028,0.23853211009174313,218,0.23394495412844038,0.0,0.7660550458715596,-0.00107768287968113,-0.9999998336064476,0.13896567894012235,-112.2522677397522,-44.81722350092843,-0.0014195610704277328,-704.4429820163597,0.5121951219512195,0.23853211009174313
rnn,-0.005081565207243899,-1.0,0.1862714464428611,-395.81951374035435,-336.4796852026452,-0.005112338291671459,-195.605208995873,0.3728813559322034,0.27522935779816515,218,0.42660550458715596,0.05963302752293578,0.5137614678899083,0.0009062447713694688,495252.6012114061,0.1615603230321902,81.24461634786876,46.47909739701115,-0.0012433217080385361,398330213.3385224,0.6046511627906976,0.27522935779816515
ts,-0.0008993796144228794,-0.9999977960172463,0.04541869853308093,-286.75824021068377,-140.6879409042248,-0.0008993796144228794,-1111.875096989976,0.125,0.03669724770642202,218,0.0045871559633027525,0.013761467889908258,0.981651376146789,-9.972934621760299e-05,-0.763959139065245,0.025868709735936916,-55.797735431652235,-15.53379591194308,-0.00012164940175030114,-6280.007366031735,0.25,0.03669724770642202
