test_mse,test_rmse,test_mae,test_r2,model_name,hidden,n_layers,dropout,learning_rate,batch_size
1.8221729902734296e-08,0.0001349878879853089,8.68032657308504e-05,-0.16481506824493408,GRU_ATTN_Model_1,32,1,0.3,0.001,128
3.194817210783185e-08,0.00017874051613395284,0.00011814120080089197,-1.0422711372375488,GRU_ATTN_Model_2,64,2,0.1,0.001,128
1.934144044923869e-08,0.000139073507359377,9.270860027754679e-05,-0.23639202117919922,GRU_ATTN_Model_3,64,2,0.3,0.001,128
1.8370052146110538e-08,0.00013553616545450346,8.927640737965703e-05,-0.17429649829864502,GRU_ATTN_Model_4,32,1,0.1,0.001,128
2.0197727934601062e-08,0.0001421187107125626,9.25571148400195e-05,-0.29112982749938965,GRU_ATTN_Model_5,64,1,0.3,0.001,128
2.0132414846329993e-08,0.0001418887410837449,9.421118011232466e-05,-0.2869546413421631,GRU_ATTN_Model_6,32,2,0.1,0.001,128
1.8410986513117678e-08,0.00013568709044385055,8.645009802421555e-05,-0.17691326141357422,GRU_ATTN_Model_7,64,1,0.1,0.001,128
1.9259047689956788e-08,0.00013877697103610812,9.049384243553504e-05,-0.2311251163482666,GRU_ATTN_Model_8,32,2,0.3,0.001,128
