test_mse,test_rmse,test_mae,test_r2,model_name,hidden,n_layers,dropout,learning_rate,batch_size
3.015810534634511e-08,0.00017366089181604794,0.00012615729065146297,-0.9278420209884644,LSTM_Model_1,64,2,0.1,0.001,128
1.886064460165926e-08,0.00013733406205912376,9.31494651013054e-05,-0.20565736293792725,LSTM_Model_2,32,1,0.3,0.001,128
2.330735604516576e-08,0.00015266746885032764,0.00010702120925998315,-0.48991119861602783,LSTM_Model_3,64,1,0.3,0.001,128
1.867881671557825e-08,0.00013667046760576423,9.232111187884584e-05,-0.19403421878814697,LSTM_Model_4,32,2,0.3,0.001,128
3.8706410521172074e-08,0.00019673944830961602,0.0001472620788263157,-1.4742882251739502,LSTM_Model_5,32,2,0.1,0.001,128
2.295549528241736e-08,0.0001515107101244574,0.000106664294435177,-0.4674187898635864,LSTM_Model_6,64,1,0.1,0.001,128
2.371535146039605e-08,0.00015399789433753972,0.00010934855527011678,-0.5159921646118164,LSTM_Model_7,64,2,0.3,0.001,128
