Metric,Value
Total Configurations,6.0
Top-6 Used,6.0
Test Set Size,2177.0
Best Single RMSE,0.00012509469628749684
Best Single R2,-0.00033441118313337626
Ensemble RMSE,0.00012518584692590936
Ensemble R2,-0.0017927358382205938
Ensemble MAE,7.784940435611534e-05
Ensemble MSE,1.5671496270557207e-08
