test_mse,test_rmse,test_mae,test_r2,model_name,n_estimators,max_depth,min_samples_leaf,max_features
1.6800542638088523e-08,0.00012961690722312628,8.203905772344043e-05,-0.0739664727865168,RF_Model_1,200,12.0,5,sqrt
1.702667246637154e-08,0.00013048629225467147,8.26706409060586e-05,-0.08842171148353084,RF_Model_2,200,12.0,1,sqrt
1.7303675356887634e-08,0.00013154343524816292,8.432129952641168e-05,-0.10612898580720631,RF_Model_3,100,12.0,5,sqrt
1.6993873780350225e-08,0.0001303605530072277,8.31419036344796e-05,-0.08632507151795688,RF_Model_4,100,12.0,1,sqrt
1.851662472324939e-08,0.00013607580506191903,8.992251807548449e-05,-0.1836661809277318,RF_Model_5,200,,5,sqrt
1.9455320334220587e-08,0.0001394823298279054,9.346124451957808e-05,-0.24367183884317267,RF_Model_6,100,,5,sqrt
1.9221243684437348e-08,0.00013864069995653277,9.252593607461287e-05,-0.22870860346769972,RF_Model_7,200,,1,sqrt
2.1917488499820454e-08,0.00014804556224291376,0.00010221512415717117,-0.40106473484533356,RF_Model_8,100,,1,sqrt
