hidden,n_layers,dropout,learning_rate,batch_size,val_loss,epochs_trained
32,1,0.3,0.001,128,0.3352062561932732,6
64,2,0.1,0.001,128,0.33787812818499174,6
64,2,0.3,0.001,128,0.3384114214602639,9
32,1,0.1,0.001,128,0.33915076711598563,6
64,1,0.3,0.001,128,0.34536806976093964,6
32,2,0.1,0.001,128,0.354281451772241,6
64,1,0.1,0.001,128,0.35459140994969535,6
32,2,0.3,0.001,128,0.36038293820970196,6
