Metric,Value
Total Configurations,8.0
Top-8 Used,8.0
Test Set Size,2177.0
Best Single RMSE,0.0001349878879853089
Best Single R2,-0.16481506824493408
Ensemble RMSE,0.00013573043624944637
Ensemble R2,-0.1776653528213501
Ensemble MAE,8.714324940228835e-05
Ensemble MSE,1.8422751324465025e-08
